ID,Description,Score,Identity_Percent,Aligned_Length,Candidate_Length,Passed_Filter
GAA0862621.1,GAA0862621.1 hypothetical protein GCM10009115_10090 [Sphingopyxis soli],33.5,54.05,37,180,True
KKB33341.1,KKB33341.1 hypothetical protein QY96_00601 [Bacillus thermotolerans],28.0,53.85,13,176,True
GFO81418.1,GFO81418.1 MAG: hypothetical protein A49_10450 [Methyloceanibacter sp.],25.5,53.85,13,110,True
UNT44192.1,UNT44192.1 hypothetical protein MN200_05370 [Acinetobacter sp. LUNF3],33.0,53.85,13,122,True
UHH33033.1,UHH33033.1 hypothetical protein LUW10_14910 [Pseudomonas veronii],23.0,53.85,13,143,True
KGO99308.1,KGO99308.1 hypothetical protein N791_10110 [Lysobacter defluvii IMMIB APB-9 = DSM 18482],53.0,53.85,26,206,True
RQP16598.1,RQP16598.1 MAG: hypothetical protein EAS52_11330 [Parapedobacter sp.],31.0,53.85,13,119,True
GAB6179592.1,GAB6179592.1 hypothetical protein JCM14036_09110 [Desulfotomaculum defluvii],26.5,53.85,13,109,True
RQP12643.1,RQP12643.1 MAG: hypothetical protein EAS48_04990 [Chryseobacterium sp.],24.0,53.85,13,171,True
OCN02534.1,OCN02534.1 hypothetical protein A7X67_15250 [Clostridium sp. W14A],28.0,53.85,13,182,True
APC46937.1,APC46937.1 hypothetical protein BME96_01455 [Virgibacillus halodenitrificans],37.0,53.85,13,255,True
APC46696.1,APC46696.1 hypothetical protein BME96_00050 [Virgibacillus halodenitrificans],30.5,53.85,13,314,True
GKS62071.1,GKS62071.1 hypothetical protein YTPLAS21_15290 [Candidatus Nitrosocosmicus sp.],25.5,53.85,13,169,True
GKS62086.1,GKS62086.1 hypothetical protein YTPLAS21_15440 [Candidatus Nitrosocosmicus sp.],32.0,53.85,13,208,True
RQP15602.1,RQP15602.1 MAG: hypothetical protein EAS52_14595 [Parapedobacter sp.],28.0,53.85,13,161,True
RQP15516.1,RQP15516.1 MAG: hypothetical protein EAS52_14840 [Parapedobacter sp.],26.0,53.85,13,163,True
GFO81898.1,GFO81898.1 MAG: hypothetical protein A49_15250 [Methyloceanibacter sp.],24.5,53.85,13,135,True
OCN02350.1,OCN02350.1 hypothetical protein A7X67_14575 [Clostridium sp. W14A],29.0,53.85,13,198,True
WWV54371.1,WWV54371.1 hypothetical protein V0M98_36545 (plasmid) [Pseudomonas silesiensis],25.5,53.85,26,143,True
RAT11388.1,RAT11388.1 hypothetical protein A6E22_04725 [Bacillus cereus],32.0,53.85,13,151,True
AHB78118.1,AHB78118.1 hypothetical protein X636_23800 [Pandoraea pnomenusa],38.0,53.85,13,233,True
KGP80835.1,KGP80835.1 hypothetical protein P364_0117860 [Paenibacillus sp. MAEPY2],21.5,53.85,13,105,True
KKB37920.1,KKB37920.1 hypothetical protein QY95_02697 [Bacillus thermotolerans],28.0,53.85,13,176,True
OCN00410.1,OCN00410.1 hypothetical protein A7X67_16225 [Clostridium sp. W14A],27.0,53.85,13,271,True
WWV55443.1,WWV55443.1 hypothetical protein V0M98_34900 (plasmid) [Pseudomonas silesiensis],33.0,53.85,13,392,True
AHB75992.1,AHB75992.1 hypothetical protein X636_11555 [Pandoraea pnomenusa],38.0,53.85,13,296,True
GKS62144.1,GKS62144.1 hypothetical protein YTPLAS21_16020 [Candidatus Nitrosocosmicus sp.],21.0,53.85,13,103,True
GAA4407906.1,GAA4407906.1 hypothetical protein GCM10023089_18380 [Quisquiliibacterium transsilvanicum],24.0,53.85,13,156,True
GKS65445.1,GKS65445.1 hypothetical protein YTPLAS72_27490 [Nitrospira sp.],23.0,53.85,13,117,True
OCN00398.1,OCN00398.1 hypothetical protein A7X67_16160 [Clostridium sp. W14A],29.0,53.85,13,241,True
URF06056.1,URF06056.1 hypothetical protein M5D45_16145 [Cupriavidus campinensis],27.5,53.85,26,133,True
RQP11874.1,RQP11874.1 MAG: hypothetical protein EAS51_04280 [Microbacteriaceae bacterium],35.0,53.85,13,158,True
KGP88063.1,KGP88063.1 hypothetical protein P363_0110575 [Paenibacillus sp. MAEPY1],21.5,53.85,13,105,True
GAA4410246.1,GAA4410246.1 hypothetical protein GCM10023089_24260 [Quisquiliibacterium transsilvanicum],24.0,53.85,13,108,True
UFN96389.1,UFN96389.1 hypothetical protein LF814_09735 [Micromonospora aurantiaca (nom. illeg.)],35.0,53.85,26,164,True
GFO80805.1,GFO80805.1 MAG: hypothetical protein A49_04320 [Methyloceanibacter sp.],25.5,53.85,13,137,True
RQP11205.1,RQP11205.1 MAG: hypothetical protein EAS48_06495 [Chryseobacterium sp.],39.0,53.85,13,140,True
KGO97962.1,KGO97962.1 hypothetical protein N791_06340 [Lysobacter defluvii IMMIB APB-9 = DSM 18482],34.5,53.85,39,162,True
RQP13039.1,"RQP13039.1 MAG: hypothetical protein EAS52_19970, partial [Parapedobacter sp.]",26.0,53.85,13,189,True
RAT01658.1,"RAT01658.1 hypothetical protein A6E22_20960, partial [Bacillus cereus]",37.0,53.85,13,354,True
RAT01032.1,RAT01032.1 hypothetical protein A6E22_21905 [Bacillus cereus],32.0,53.85,13,129,True
DBA35247.1,DBA35247.1 TPA_asm: hypothetical protein vir530_00023 [dsDNA virus vir530],23.5,53.85,13,148,True
GKS57976.1,GKS57976.1 hypothetical protein YTPLAS18_15030 [Nitrospira sp.],30.0,53.85,13,449,True
AHB07814.1,AHB07814.1 hypothetical protein U875_22620 [Pandoraea pnomenusa 3kgm],38.0,53.85,13,296,True
URF05029.1,URF05029.1 hypothetical protein M5D45_04110 [Cupriavidus campinensis],32.0,53.85,13,127,True
AHB74901.2,AHB74901.2 hypothetical protein X636_05200 [Pandoraea pnomenusa],29.0,53.85,13,136,True
UZF56227.1,UZF56227.1 hypothetical protein LH935_26775 [Gordonia polyisoprenivorans],28.0,53.85,13,139,True
GAA4404777.1,GAA4404777.1 hypothetical protein GCM10023089_11050 [Quisquiliibacterium transsilvanicum],30.0,53.85,26,320,True
URF04179.1,URF04179.1 hypothetical protein M5D45_17175 [Cupriavidus campinensis],48.0,53.85,26,200,True
QQE08063.1,QQE08063.1 hypothetical protein IC580_07290 [Cupriavidus sp. ISTL7],39.0,53.85,13,196,True
GAA4401125.1,GAA4401125.1 hypothetical protein GCM10023089_02280 [Quisquiliibacterium transsilvanicum],37.0,53.85,13,193,True
AHG18421.1,AHG18421.1 hypothetical protein Z042_01235 [Chania multitudinisentens RB-25],31.0,53.85,13,159,True
AHG18306.1,AHG18306.1 hypothetical protein Z042_00585 [Chania multitudinisentens RB-25],28.5,53.85,13,105,True
XYX32289.1,XYX32289.1 hypothetical protein ACSHT2_18410 [Bradyrhizobium sp. PUT101],32.0,53.85,13,143,True
OWY83371.1,OWY83371.1 hypothetical protein B9C99_02720 [Rhodococcus sp. BUPNP1],30.0,53.85,13,153,True
AHG21341.1,AHG21341.1 hypothetical protein Z042_18350 [Chania multitudinisentens RB-25],44.0,53.85,13,546,True
QRE79545.1,QRE79545.1 hypothetical protein F1734_04330 [Rhodococcus ruber],33.0,53.85,13,162,True
GKS58796.1,GKS58796.1 hypothetical protein YTPLAS18_23230 [Nitrospira sp.],30.0,53.85,26,216,True
RAS94503.1,RAS94503.1 hypothetical protein A6E21_14140 [Bacillus cereus],22.0,53.85,13,106,True
RAS94394.1,RAS94394.1 hypothetical protein A6E21_14825 [Bacillus cereus],37.0,53.85,13,370,True
WLI91153.1,WLI91153.1 hypothetical protein Q4S45_08545 [Massilia sp. R2A-15],28.5,53.85,13,148,True
PCL91421.1,PCL91421.1 hypothetical protein CPZ30_19050 [Paenibacillus lautus],46.0,53.85,13,369,True
PXZ49347.1,PXZ49347.1 hypothetical protein DM483_14485 [Pseudomonas sp. SMT-1],33.0,53.85,13,107,True
EIW90141.1,EIW90141.1 hypothetical protein AGRI_02273 [Alishewanella agri BL06],29.5,53.85,13,148,True
XYX32799.1,XYX32799.1 hypothetical protein ACSHT2_21125 [Bradyrhizobium sp. PUT101],30.0,53.85,13,102,True
PXZ50424.1,PXZ50424.1 hypothetical protein DM483_11480 [Pseudomonas sp. SMT-1],26.5,53.85,13,103,True
AJK87996.1,AJK87996.1 hypothetical protein HR49_13025 [Lysinibacillus fusiformis],32.0,53.85,13,288,True
QTQ96384.1,QTQ96384.1 hypothetical protein J9247_22180 [Pseudomonas aeruginosa],30.0,53.85,13,107,True
GAB6180194.1,GAB6180194.1 hypothetical protein JCM14036_15130 [Desulfotomaculum defluvii],36.5,53.85,13,123,True
AJK88674.1,AJK88674.1 hypothetical protein HR49_16820 [Lysinibacillus fusiformis],23.0,53.85,13,159,True
CUR54025.1,CUR54025.1 conserved hypothetical protein [metagenome],32.0,53.85,13,235,True
QRE83625.1,QRE83625.1 hypothetical protein F1734_24585 [Rhodococcus ruber],35.0,53.85,26,141,True
QTQ95624.1,QTQ95624.1 hypothetical protein J9247_18105 [Pseudomonas aeruginosa],28.0,53.85,13,108,True
WWV48446.1,WWV48446.1 hypothetical protein V0M98_17740 [Pseudomonas silesiensis],24.5,53.85,13,129,True
GKS61461.1,GKS61461.1 hypothetical protein YTPLAS21_09190 [Candidatus Nitrosocosmicus sp.],28.0,53.85,13,237,True
CUR54369.1,CUR54369.1 conserved hypothetical protein [metagenome],32.0,53.85,13,169,True
QTV16807.1,QTV16807.1 hypothetical protein J9321_27355 [Pseudomonas fluorescens],30.0,53.85,13,140,True
UHH33334.1,UHH33334.1 hypothetical protein LUW10_31805 (plasmid) [Pseudomonas veronii],23.0,53.85,13,119,True
GKS60583.1,GKS60583.1 hypothetical protein YTPLAS21_00410 [Candidatus Nitrosocosmicus sp.],27.0,53.85,13,136,True
KGP78438.1,KGP78438.1 hypothetical protein P364_0128805 [Paenibacillus sp. MAEPY2],29.5,53.85,13,152,True
KGP78387.1,KGP78387.1 hypothetical protein P363_0132230 [Paenibacillus sp. MAEPY1],29.5,53.85,13,152,True
CAD6513702.1,CAD6513702.1 conserved hypothetical protein [metagenome],23.5,53.85,13,116,True
KGP82802.1,KGP82802.1 hypothetical protein P364_0110475 [Paenibacillus sp. MAEPY2],38.0,53.57,28,515,True
GKS57825.1,GKS57825.1 hypothetical protein YTPLAS18_13520 [Nitrospira sp.],29.5,53.57,28,132,True
UZF57720.1,UZF57720.1 hypothetical protein LH935_06960 [Gordonia polyisoprenivorans],52.0,53.57,28,140,True
KGP82236.1,KGP82236.1 hypothetical protein P363_0126350 [Paenibacillus sp. MAEPY1],38.0,53.57,28,515,True
GAA0860715.1,GAA0860715.1 hypothetical protein GCM10009115_00370 [Sphingopyxis soli],41.5,53.57,28,168,True
GAA0862443.1,GAA0862443.1 hypothetical protein GCM10009115_09120 [Sphingopyxis soli],33.5,53.57,28,124,True
GKS67066.1,GKS67066.1 hypothetical protein YTPLAS73_06130 [Nitrosarchaeum sp.],43.0,53.57,28,274,True
GFO83244.1,GFO83244.1 MAG: hypothetical protein A49_28710 [Methyloceanibacter sp.],40.5,53.57,28,206,True
GKS63816.1,GKS63816.1 hypothetical protein YTPLAS72_11200 [Nitrospira sp.],37.0,53.57,28,868,True
OCN03102.1,OCN03102.1 hypothetical protein A7X67_03870 [Clostridium sp. W14A],41.0,53.57,28,300,True
GAA4412522.1,GAA4412522.1 hypothetical protein GCM10023089_29350 [Quisquiliibacterium transsilvanicum],29.0,53.57,28,206,True
AJK87579.1,AJK87579.1 hypothetical protein HR49_10580 [Lysinibacillus fusiformis],51.5,53.49,43,187,True
GAA4401282.1,GAA4401282.1 hypothetical protein GCM10023089_02650 [Quisquiliibacterium transsilvanicum],48.5,53.49,43,250,True
WWV54509.1,WWV54509.1 hypothetical protein V0M98_37260 (plasmid) [Pseudomonas silesiensis],32.0,53.33,15,234,True
GKS60584.1,GKS60584.1 hypothetical protein YTPLAS21_00420 [Candidatus Nitrosocosmicus sp.],35.5,53.33,15,611,True
RQP09085.1,RQP09085.1 MAG: hypothetical protein EAS52_24280 [Parapedobacter sp.],32.5,53.33,15,162,True
APC47803.1,APC47803.1 hypothetical protein BME96_06295 [Virgibacillus halodenitrificans],28.5,53.33,15,249,True
RAS91870.1,RAS91870.1 hypothetical protein A6E21_22870 [Bacillus cereus],42.0,53.33,15,265,True
UFN94267.1,UFN94267.1 hypothetical protein LF814_30710 [Micromonospora aurantiaca (nom. illeg.)],30.5,53.33,15,115,True
RQP10993.1,RQP10993.1 MAG: hypothetical protein EAS51_07090 [Microbacteriaceae bacterium],30.5,53.33,15,112,True
RQP18880.1,RQP18880.1 MAG: hypothetical protein EAS52_04070 [Parapedobacter sp.],22.0,53.33,15,222,True
GKS61897.1,GKS61897.1 hypothetical protein YTPLAS21_13550 [Candidatus Nitrosocosmicus sp.],36.0,53.33,30,148,True
GFO82113.1,GFO82113.1 MAG: hypothetical protein A49_17400 [Methyloceanibacter sp.],28.0,53.33,15,103,True
GFO82138.1,GFO82138.1 MAG: hypothetical protein A49_17650 [Methyloceanibacter sp.],37.0,53.33,30,116,True
GKS62020.1,GKS62020.1 hypothetical protein YTPLAS21_14780 [Candidatus Nitrosocosmicus sp.],34.0,53.33,15,299,True
GFO81434.1,GFO81434.1 MAG: hypothetical protein A49_10610 [Methyloceanibacter sp.],38.5,53.33,30,260,True
KGO99413.1,KGO99413.1 hypothetical protein N791_08045 [Lysobacter defluvii IMMIB APB-9 = DSM 18482],41.0,53.33,30,169,True
PXZ51206.1,PXZ51206.1 hypothetical protein DM483_09155 [Pseudomonas sp. SMT-1],27.0,53.33,15,144,True
APC49937.1,APC49937.1 hypothetical protein BME96_17790 [Virgibacillus halodenitrificans],25.0,53.33,15,106,True
APC49220.1,APC49220.1 hypothetical protein BME96_13890 [Virgibacillus halodenitrificans],28.0,53.33,15,152,True
OWY83534.1,OWY83534.1 hypothetical protein B9C99_03265 [Rhodococcus sp. BUPNP1],41.0,53.33,15,269,True
KGP89378.1,KGP89378.1 hypothetical protein P363_0101600 [Paenibacillus sp. MAEPY1],27.0,53.33,15,137,True
GKS59204.1,GKS59204.1 hypothetical protein YTPLAS18_27310 [Nitrospira sp.],28.0,53.33,30,121,True
OWY83585.1,OWY83585.1 hypothetical protein B9C99_00275 [Rhodococcus sp. BUPNP1],31.0,53.33,30,288,True
RAT01632.1,RAT01632.1 hypothetical protein A6E22_21040 [Bacillus cereus],42.0,53.33,15,265,True
RAS99373.1,RAS99373.1 hypothetical protein A6E22_24440 [Bacillus cereus],30.5,53.33,30,165,True
OWY80147.1,OWY80147.1 hypothetical protein B9C99_19285 [Rhodococcus sp. BUPNP1],38.0,53.33,15,162,True
RAS95899.1,RAS95899.1 hypothetical protein A6E21_07545 [Bacillus cereus],29.0,53.33,15,225,True
RAT03735.1,RAT03735.1 hypothetical protein A6E22_18060 [Bacillus cereus],26.0,53.33,15,113,True
WLI91099.1,WLI91099.1 hypothetical protein Q4S45_08265 [Massilia sp. R2A-15],29.0,53.33,15,110,True
GKS57733.1,GKS57733.1 hypothetical protein YTPLAS18_12600 [Nitrospira sp.],31.0,53.33,15,119,True
AHB78709.1,AHB78709.1 hypothetical protein X636_20735 [Pandoraea pnomenusa],36.0,53.33,15,138,True
AHB76739.1,AHB76739.1 hypothetical protein X636_15785 [Pandoraea pnomenusa],32.0,53.33,15,140,True
GAA4408959.1,GAA4408959.1 hypothetical protein GCM10023089_21080 [Quisquiliibacterium transsilvanicum],31.5,53.33,15,174,True
QBR72600.1,QBR72600.1 hypothetical protein CU048_02545 [Beijerinckiaceae bacterium],28.5,53.33,15,111,True
AJK87515.1,AJK87515.1 hypothetical protein HR49_10245 [Lysinibacillus fusiformis],31.0,53.33,15,131,True
KGP77513.1,KGP77513.1 hypothetical protein P364_0132840 [Paenibacillus sp. MAEPY2],24.0,53.33,15,241,True
KGP79274.1,KGP79274.1 hypothetical protein P363_0131195 [Paenibacillus sp. MAEPY1],24.0,53.33,15,241,True
GFO83379.1,GFO83379.1 MAG: hypothetical protein A49_30060 [Methyloceanibacter sp.],39.0,53.33,15,164,True
KGP78100.1,KGP78100.1 hypothetical protein P364_0130050 [Paenibacillus sp. MAEPY2],27.0,53.33,15,137,True
QRE81106.1,QRE81106.1 hypothetical protein F1734_13165 [Rhodococcus ruber],27.0,53.33,15,136,True
KGP79371.1,KGP79371.1 hypothetical protein P363_0131130 [Paenibacillus sp. MAEPY1],28.0,53.33,15,223,True
QRE83146.1,QRE83146.1 hypothetical protein F1734_24845 [Rhodococcus ruber],27.0,53.33,15,163,True
AJK88770.1,AJK88770.1 hypothetical protein HR49_17355 [Lysinibacillus fusiformis],24.5,53.33,15,113,True
AJK88701.1,AJK88701.1 hypothetical protein HR49_16970 [Lysinibacillus fusiformis],38.5,53.33,15,263,True
GAA0864799.1,GAA0864799.1 hypothetical protein GCM10009115_20800 [Sphingopyxis soli],27.0,53.33,15,156,True
GAA0863406.1,GAA0863406.1 hypothetical protein GCM10009115_13900 [Sphingopyxis soli],28.0,53.33,15,109,True
QRE83655.1,QRE83655.1 hypothetical protein F1734_25235 (plasmid) [Rhodococcus ruber],41.0,53.33,15,337,True
QRE80891.1,QRE80891.1 hypothetical protein F1734_11965 [Rhodococcus ruber],34.0,53.33,15,166,True
QQE09755.1,QQE09755.1 hypothetical protein IC580_18050 [Cupriavidus sp. ISTL7],38.0,53.33,30,127,True
WWV55450.1,WWV55450.1 hypothetical protein V0M98_34935 (plasmid) [Pseudomonas silesiensis],28.0,53.33,15,134,True
QBR72731.1,QBR72731.1 hypothetical protein CU048_07005 [Beijerinckiaceae bacterium],29.5,53.33,15,155,True
PXZ45554.1,PXZ45554.1 hypothetical protein DM483_28580 [Pseudomonas sp. SMT-1],27.0,53.33,15,156,True
OCN00091.1,OCN00091.1 hypothetical protein A7X67_17505 [Clostridium sp. W14A],36.0,53.33,15,248,True
KGP77412.1,KGP77412.1 hypothetical protein P364_0133140 [Paenibacillus sp. MAEPY2],28.0,53.33,15,223,True
PCL93638.1,PCL93638.1 hypothetical protein CPZ30_09385 [Paenibacillus lautus],38.0,53.33,15,348,True
QTQ99968.1,QTQ99968.1 hypothetical protein J9247_10450 [Pseudomonas aeruginosa],33.0,53.33,15,159,True
GKS66886.1,GKS66886.1 hypothetical protein YTPLAS73_04330 [Nitrosarchaeum sp.],22.5,53.33,15,144,True
QBR71857.1,QBR71857.1 hypothetical protein CU048_11910 [Beijerinckiaceae bacterium],35.0,53.33,15,144,True
QTR00003.1,QTR00003.1 hypothetical protein J9247_10625 [Pseudomonas aeruginosa],33.0,53.33,15,170,True
QTR00879.1,QTR00879.1 hypothetical protein J9247_15265 [Pseudomonas aeruginosa],33.5,53.33,15,220,True
CAD6519112.1,CAD6519112.1 conserved hypothetical protein [metagenome],34.0,53.33,15,128,True
EIW89336.1,EIW89336.1 hypothetical protein AGRI_04522 [Alishewanella agri BL06],34.5,53.33,15,429,True
KGO97881.1,KGO97881.1 hypothetical protein N791_06885 [Lysobacter defluvii IMMIB APB-9 = DSM 18482],33.0,53.33,15,163,True
GKS66878.1,GKS66878.1 hypothetical protein YTPLAS73_04250 [Nitrosarchaeum sp.],40.5,53.19,47,509,True
UNT43594.1,UNT43594.1 hypothetical protein MN200_01955 [Acinetobacter sp. LUNF3],36.0,53.12,32,223,True
GKS60934.1,GKS60934.1 hypothetical protein YTPLAS21_03920 [Candidatus Nitrosocosmicus sp.],27.5,53.12,32,138,True
AHB07850.2,AHB07850.2 hypothetical protein U875_22935 [Pandoraea pnomenusa 3kgm],59.0,53.12,32,555,True
AJK89288.1,AJK89288.1 hypothetical protein HR49_20135 [Lysinibacillus fusiformis],46.0,53.12,32,300,True
UUD59743.1,UUD59743.1 hypothetical protein KK132_16170 [Bacillus velezensis],30.5,53.12,32,103,True
GFO80596.1,GFO80596.1 MAG: hypothetical protein A49_02230 [Methyloceanibacter sp.],48.5,53.12,32,365,True
AHB75955.2,AHB75955.2 hypothetical protein X636_11240 [Pandoraea pnomenusa],59.0,53.12,32,555,True
GKS59997.1,GKS59997.1 hypothetical protein YTPLAS18_35240 [Nitrospira sp.],32.0,52.94,17,116,True
APC48094.1,APC48094.1 hypothetical protein BME96_07850 [Virgibacillus halodenitrificans],29.0,52.94,17,144,True
GKS65072.1,GKS65072.1 hypothetical protein YTPLAS72_23760 [Nitrospira sp.],27.0,52.94,17,129,True
GAA0862036.1,GAA0862036.1 hypothetical protein GCM10009115_07070 [Sphingopyxis soli],29.0,52.94,17,155,True
KYC28944.1,KYC28944.1 hypothetical protein ACY05_03595 [Sterolibacterium denitrificans],45.0,52.94,34,130,True
QBR72864.1,QBR72864.1 hypothetical protein CU048_10990 [Beijerinckiaceae bacterium],32.0,52.94,17,283,True
WWV48970.1,WWV48970.1 hypothetical protein V0M98_20665 [Pseudomonas silesiensis],30.5,52.94,17,116,True
CUR58424.1,CUR58424.1 hypothetical protein NOCA1140095 [metagenome],32.0,52.94,17,172,True
GAA0866652.1,GAA0866652.1 hypothetical protein GCM10009115_30520 [Sphingopyxis soli],30.0,52.94,17,133,True
GAB6182029.1,GAB6182029.1 hypothetical protein JCM14036_33480 [Desulfotomaculum defluvii],29.0,52.94,17,197,True
KGP80448.1,KGP80448.1 hypothetical protein P363_0130360 [Paenibacillus sp. MAEPY1],22.5,52.94,17,119,True
KGO98695.1,KGO98695.1 hypothetical protein N791_14455 [Lysobacter defluvii IMMIB APB-9 = DSM 18482],22.5,52.94,17,162,True
RAS96559.1,RAS96559.1 hypothetical protein A6E21_04920 [Bacillus cereus],32.0,52.94,17,105,True
WWV54583.1,WWV54583.1 hypothetical protein V0M98_37630 (plasmid) [Pseudomonas silesiensis],34.0,52.94,17,186,True
RAS96413.1,RAS96413.1 hypothetical protein A6E22_29095 [Bacillus cereus],32.0,52.94,17,105,True
GAA4409470.1,GAA4409470.1 hypothetical protein GCM10023089_22600 [Quisquiliibacterium transsilvanicum],39.0,52.94,17,179,True
OWY81114.1,OWY81114.1 hypothetical protein B9C99_14170 [Rhodococcus sp. BUPNP1],26.5,52.94,17,203,True
OWY81787.1,OWY81787.1 hypothetical protein B9C99_10515 [Rhodococcus sp. BUPNP1],22.5,52.94,17,121,True
OWY79113.1,OWY79113.1 hypothetical protein B9C99_24510 [Rhodococcus sp. BUPNP1],23.5,52.94,17,111,True
CUR59848.1,CUR59848.1 hypothetical protein NOCA1190126 [metagenome],24.5,52.94,17,102,True
OWY79857.1,OWY79857.1 hypothetical protein B9C99_20760 [Rhodococcus sp. BUPNP1],28.5,52.94,17,107,True
GKS57635.1,GKS57635.1 hypothetical protein YTPLAS18_11620 [Nitrospira sp.],40.0,52.94,17,122,True
WLI89755.1,WLI89755.1 hypothetical protein Q4S45_01155 [Massilia sp. R2A-15],27.0,52.94,17,118,True
QBR72622.1,QBR72622.1 hypothetical protein CU048_03305 [Beijerinckiaceae bacterium],29.5,52.94,17,146,True
KYC29112.1,KYC29112.1 hypothetical protein ACY05_00585 [Sterolibacterium denitrificans],39.0,52.94,17,124,True
UUD61501.1,UUD61501.1 hypothetical protein KK132_06590 [Bacillus velezensis],36.5,52.94,17,194,True
OCN01726.1,OCN01726.1 hypothetical protein A7X67_01150 [Clostridium sp. W14A],30.5,52.94,17,151,True
KGP79580.1,KGP79580.1 hypothetical protein P364_0123650 [Paenibacillus sp. MAEPY2],22.5,52.94,17,119,True
GKS64604.1,GKS64604.1 hypothetical protein YTPLAS72_19080 [Nitrospira sp.],42.0,52.94,34,354,True
CUR59759.1,CUR59759.1 conserved hypothetical protein [metagenome],31.0,52.94,17,161,True
OWY83679.1,OWY83679.1 hypothetical protein B9C99_00790 [Rhodococcus sp. BUPNP1],31.5,52.94,17,113,True
RQP10635.1,RQP10635.1 MAG: hypothetical protein EAS51_08110 [Microbacteriaceae bacterium],28.0,52.94,17,109,True
GKS61176.1,GKS61176.1 hypothetical protein YTPLAS21_06340 [Candidatus Nitrosocosmicus sp.],31.5,52.94,17,175,True
PXZ50745.1,PXZ50745.1 hypothetical protein DM483_10555 [Pseudomonas sp. SMT-1],47.0,52.78,36,101,True
AJK87228.1,AJK87228.1 hypothetical protein HR49_08675 [Lysinibacillus fusiformis],41.0,52.78,36,242,True
OCN02532.1,OCN02532.1 hypothetical protein A7X67_15205 [Clostridium sp. W14A],41.5,52.78,36,210,True
OCN02706.1,OCN02706.1 hypothetical protein A7X67_14135 [Clostridium sp. W14A],38.5,52.78,36,330,True
GKS60408.1,GKS60408.1 hypothetical protein YTPLAS18_39350 [Nitrospira sp.],27.5,52.63,19,107,True
GKS60499.1,GKS60499.1 hypothetical protein YTPLAS18_40260 [Nitrospira sp.],34.5,52.63,19,239,True
RAS99193.1,RAS99193.1 hypothetical protein A6E22_24795 [Bacillus cereus],37.0,52.63,19,246,True
KGP86054.1,KGP86054.1 hypothetical protein P363_0119675 [Paenibacillus sp. MAEPY1],24.0,52.63,19,141,True
RAT01228.1,RAT01228.1 hypothetical protein A6E22_21615 [Bacillus cereus],30.0,52.63,19,144,True
UZF54324.1,UZF54324.1 hypothetical protein LH935_16380 [Gordonia polyisoprenivorans],26.0,52.63,19,117,True
UFN92673.1,UFN92673.1 hypothetical protein LF814_22075 [Micromonospora aurantiaca (nom. illeg.)],26.5,52.63,19,142,True
WLI89469.1,WLI89469.1 hypothetical protein Q4S45_22705 [Massilia sp. R2A-15],27.5,52.63,19,109,True
GKS58603.1,GKS58603.1 hypothetical protein YTPLAS18_21300 [Nitrospira sp.],30.0,52.63,19,412,True
RAT13036.1,RAT13036.1 hypothetical protein A6E22_01805 [Bacillus cereus],34.5,52.63,19,212,True
GKS57129.1,GKS57129.1 hypothetical protein YTPLAS18_06560 [Nitrospira sp.],34.0,52.63,19,181,True
GKS57065.1,GKS57065.1 hypothetical protein YTPLAS18_05920 [Nitrospira sp.],27.5,52.63,19,158,True
OWY81222.1,OWY81222.1 hypothetical protein B9C99_12930 [Rhodococcus sp. BUPNP1],31.5,52.63,19,147,True
CUR59984.1,CUR59984.1 conserved membrane hypothetical protein [metagenome],33.5,52.63,19,324,True
WLI90415.1,WLI90415.1 hypothetical protein Q4S45_04645 [Massilia sp. R2A-15],37.5,52.63,19,148,True
UNT42232.1,UNT42232.1 hypothetical protein MN200_10235 [Acinetobacter sp. LUNF3],39.5,52.63,19,209,True
GAA4405423.1,GAA4405423.1 hypothetical protein GCM10023089_12700 [Quisquiliibacterium transsilvanicum],31.5,52.63,19,135,True
RAS96000.1,RAS96000.1 hypothetical protein A6E22_29480 [Bacillus cereus],34.0,52.63,19,371,True
RAS93376.1,RAS93376.1 hypothetical protein A6E21_19075 [Bacillus cereus],37.0,52.63,19,238,True
GKS63178.1,GKS63178.1 hypothetical protein YTPLAS72_04820 [Nitrospira sp.],30.5,52.63,19,101,True
RAS94514.1,RAS94514.1 hypothetical protein A6E21_14110 [Bacillus cereus],34.5,52.63,19,212,True
CAD6525853.1,CAD6525853.1 conserved hypothetical protein [metagenome],27.0,52.63,19,125,True
KKB34488.1,KKB34488.1 hypothetical protein QY96_03887 [Bacillus thermotolerans],30.0,52.63,19,211,True
KGO98892.1,KGO98892.1 hypothetical protein N791_13095 [Lysobacter defluvii IMMIB APB-9 = DSM 18482],32.0,52.63,19,109,True
GKS59365.1,GKS59365.1 hypothetical protein YTPLAS18_28920 [Nitrospira sp.],34.5,52.63,19,176,True
GKS64098.1,GKS64098.1 hypothetical protein YTPLAS72_14020 [Nitrospira sp.],32.5,52.63,19,200,True
CUR60999.1,CUR60999.1 conserved hypothetical protein [metagenome],30.5,52.63,19,128,True
XYX38674.1,XYX38674.1 hypothetical protein ACSHT2_17320 [Bradyrhizobium sp. PUT101],34.5,52.63,19,235,True
KKB34783.1,KKB34783.1 hypothetical protein QY95_03736 [Bacillus thermotolerans],30.0,52.63,19,210,True
GKS59264.1,GKS59264.1 hypothetical protein YTPLAS18_27910 [Nitrospira sp.],39.0,52.63,19,218,True
