ID,Average_pLDDT,Num_Residues,Min_pLDDT,Max_pLDDT,Category,Status
EIW89453.1,92.49,257,69.0,99.0,Very High,Passed
EIW89622.1,86.09,166,45.0,94.0,High,Passed
EIW89722.1,90.98,396,43.0,99.0,Very High,Passed
EIW89738.1,94.87,199,79.0,98.0,Very High,Passed
EIW90043.1,80.92,381,33.0,97.0,High,Passed
EIW90178.1,96.71,313,75.0,99.0,Very High,Passed
EIW90184.1,94.34,283,73.0,99.0,Very High,Passed
EIW90235.1,90.2,380,59.0,98.0,Very High,Passed
EIW90266.1,92.51,314,54.0,99.0,Very High,Passed
EIW90326.1,97.66,209,86.0,99.0,Very High,Passed
EIW90345.1,60.05,261,27.0,90.0,Low,Failed
EIW90390.1,89.87,315,39.0,99.0,High,Passed
EIW90405.1,90.5,376,49.0,99.0,Very High,Passed
EIW90447.1,93.88,336,59.0,99.0,Very High,Passed
EIW90505.1,94.9,346,58.0,99.0,Very High,Passed
EIW90545.1,97.77,222,70.0,99.0,Very High,Passed
GAA0861481.1,88.47,222,48.0,99.0,High,Passed
GAA0861555.1,82.04,326,36.0,98.0,High,Passed
GAA0861703.1,88.54,211,56.0,98.0,High,Passed
GAA0861709.1,89.25,267,45.0,99.0,High,Passed
GAA0861711.1,86.12,169,48.0,95.0,High,Passed
GAA0861787.1,55.48,241,35.0,83.0,Low,Failed
GAA0861809.1,91.29,237,70.0,99.0,Very High,Passed
GAA0861820.1,42.88,183,24.0,70.0,Very Low,Failed
GAA0861872.1,70.54,186,34.0,94.0,High,Passed
GAA0862260.1,89.61,345,40.0,99.0,High,Passed
GAA0862540.1,86.22,192,48.0,98.0,High,Passed
GAA0862694.1,79.2,251,44.0,98.0,High,Passed
GAA0862880.1,89.35,379,37.0,99.0,High,Passed
GAA0862886.1,88.22,185,58.0,96.0,High,Passed
GAA0862901.1,81.35,240,36.0,98.0,High,Passed
GAA0862918.1,59.11,364,29.0,96.0,Low,Failed
CUR58680.1,70.13,380,43.0,90.0,High,Passed
CUR59175.1,88.27,326,45.0,99.0,High,Passed
CUR59957.1,93.24,322,60.0,98.0,Very High,Passed
CUR60442.1,88.98,126,35.0,97.0,High,Passed
CUR60825.1,88.27,206,66.0,99.0,High,Passed
CUR61893.1,89.45,268,44.0,98.0,High,Passed
DBA35226.1,84.8,138,52.0,94.0,High,Passed
EIW88400.1,93.44,199,71.0,98.0,Very High,Passed
EIW89902.1,93.61,299,67.0,99.0,Very High,Passed
GAA0863116.1,66.82,184,39.0,96.0,Low,Failed
GAA0863192.1,92.34,295,52.0,99.0,Very High,Passed
GAA0863355.1,81.15,221,40.0,98.0,High,Passed
GAA0863471.1,57.47,159,31.0,83.0,Low,Failed
GAA0863481.1,92.36,214,64.0,99.0,Very High,Passed
GAA0863483.1,84.98,218,40.0,99.0,High,Passed
GAA0863883.1,73.76,194,30.0,96.0,High,Passed
GAA0863894.1,82.89,198,45.0,99.0,High,Passed
GAA0863896.1,83.91,216,52.0,98.0,High,Passed
GAA0864033.1,94.04,246,56.0,99.0,Very High,Passed
GAA0864140.1,82.9,278,43.0,98.0,High,Passed
GAA0864162.1,83.53,200,57.0,97.0,High,Passed
GAA0864275.1,90.87,293,47.0,98.0,Very High,Passed
GAA0864281.1,95.77,325,73.0,99.0,Very High,Passed
GAA0864338.1,88.63,254,46.0,98.0,High,Passed
GAA0864363.1,87.31,108,72.0,92.0,High,Passed
GAA4400277.1,79.76,176,42.0,98.0,High,Passed
GAA4400431.1,84.89,375,42.0,98.0,High,Passed
GAA4400435.1,78.09,162,38.0,93.0,High,Passed
GAA4400557.1,87.85,106,46.0,97.0,High,Passed
GAA4400730.1,75.2,311,46.0,95.0,High,Passed
GAA4401235.1,76.3,332,36.0,99.0,High,Passed
GAA4401282.1,70.68,250,41.0,88.0,High,Passed
GAA4401297.1,72.48,163,40.0,87.0,High,Passed
GAA4401449.1,87.06,188,58.0,98.0,High,Passed
GAA4401697.1,54.9,209,41.0,76.0,Low,Failed
GAA4401862.1,94.7,296,56.0,98.0,Very High,Passed
GAA4401882.1,94.07,190,70.0,98.0,Very High,Passed
GAA4402746.1,89.5,359,37.0,99.0,High,Passed
GAA4403019.1,74.73,274,26.0,97.0,High,Passed
GAA4403165.1,63.48,229,31.0,98.0,Low,Failed
GAA4403286.1,86.85,337,44.0,99.0,High,Passed
GAA0864463.1,91.9,211,68.0,99.0,Very High,Passed
GAA0864524.1,89.44,153,73.0,96.0,High,Passed
GAA0864674.1,44.85,321,24.0,79.0,Very Low,Failed
GAA0864746.1,75.25,107,48.0,90.0,High,Passed
GAA0864768.1,89.06,269,40.0,99.0,High,Passed
GAA0864880.1,91.95,383,46.0,99.0,Very High,Passed
GAA0865437.1,93.44,230,71.0,99.0,Very High,Passed
GAA0865496.1,52.23,239,32.0,84.0,Low,Failed
GAA0865600.1,85.92,299,46.0,99.0,High,Passed
GAA0865645.1,93.81,164,66.0,99.0,Very High,Passed
GAA0865689.1,84.71,202,47.0,98.0,High,Passed
GAA0865766.1,62.56,163,33.0,88.0,Low,Failed
GAA0865841.1,82.8,179,48.0,97.0,High,Passed
GAA0866167.1,67.37,112,48.0,82.0,Low,Failed
GAA0866309.1,79.0,260,34.0,97.0,High,Passed
GAA0866363.1,90.71,390,55.0,98.0,Very High,Passed
GAA0866512.1,80.87,207,41.0,98.0,High,Passed
GAA0866554.1,88.6,127,45.0,97.0,High,Passed
GAA0866623.1,50.5,282,26.0,96.0,Low,Failed
GAA0866651.1,77.85,400,39.0,98.0,High,Passed
GAA0866708.1,86.64,151,47.0,95.0,High,Passed
GAA0866841.1,63.03,385,30.0,94.0,Low,Failed
GAA0866901.1,92.5,242,56.0,99.0,Very High,Passed
GAA0867017.1,86.83,378,56.0,99.0,High,Passed
GAA0867132.1,72.84,324,41.0,99.0,High,Passed
GAA0867191.1,90.88,389,42.0,99.0,Very High,Passed
GAA0867347.1,90.87,306,52.0,99.0,Very High,Passed
GAA0867384.1,94.68,203,74.0,99.0,Very High,Passed
GAA4410300.1,79.71,206,58.0,99.0,High,Passed
GAA4410329.1,90.12,297,62.0,99.0,Very High,Passed
GAA4410605.1,87.33,341,60.0,99.0,High,Passed
GAA4410618.1,38.28,141,27.0,49.0,Very Low,Failed
GAA4410761.1,87.65,187,60.0,99.0,High,Passed
GAA4411084.1,49.81,253,33.0,89.0,Very Low,Failed
GAA4411317.1,95.35,304,69.0,99.0,Very High,Passed
GAA4411759.1,95.77,400,75.0,99.0,Very High,Passed
GAA4412007.1,78.94,227,45.0,98.0,High,Passed
GAA4412154.1,90.04,361,52.0,99.0,Very High,Passed
GAA4412911.1,89.71,209,56.0,99.0,High,Passed
GAA4413129.1,82.89,399,33.0,97.0,High,Passed
GAA4413899.1,59.19,116,42.0,90.0,Low,Failed
GAA4413967.1,95.29,244,73.0,99.0,Very High,Passed
GAA4414115.1,76.34,108,40.0,94.0,High,Passed
GAA4414885.1,82.68,325,48.0,99.0,High,Passed
GAA4415293.1,88.96,364,51.0,98.0,High,Passed
GAA4415459.1,69.82,103,35.0,89.0,Low,Failed
GAA4416331.1,86.5,183,49.0,97.0,High,Passed
GAA4416472.1,90.51,144,38.0,96.0,Very High,Passed
GAA4416828.1,77.83,215,34.0,96.0,High,Passed
GAA4416875.1,74.18,161,40.0,89.0,High,Passed
GAA4404089.1,91.07,361,59.0,99.0,Very High,Passed
GAA4404102.1,89.14,100,73.0,96.0,High,Passed
GAA4404105.1,84.4,126,64.0,93.0,High,Passed
GAA4404148.1,87.96,399,35.0,99.0,High,Passed
GAA4404879.1,95.35,372,60.0,99.0,Very High,Passed
GAA4405363.1,56.43,387,23.0,97.0,Low,Failed
GAA4405679.1,79.61,222,47.0,96.0,High,Passed
GAA4406199.1,90.16,320,51.0,99.0,Very High,Passed
GAA4406202.1,84.4,329,38.0,99.0,High,Passed
GAA4406227.1,68.13,376,31.0,98.0,Low,Failed
GAA4406263.1,80.4,261,39.0,98.0,High,Passed
GAA4406297.1,51.33,156,29.0,78.0,Low,Failed
GAA4406478.1,76.33,254,49.0,97.0,High,Passed
GAA4406919.1,76.53,380,26.0,97.0,High,Passed
GAA4407281.1,72.24,210,42.0,97.0,High,Passed
GAA4407340.1,97.76,227,88.0,99.0,Very High,Passed
GAA4407349.1,55.62,143,34.0,82.0,Low,Failed
GAA4407924.1,38.9,134,27.0,59.0,Very Low,Failed
GAA4408010.1,34.16,134,27.0,44.0,Very Low,Failed
GAA4408331.1,65.6,325,29.0,92.0,Low,Failed
GAA4408343.1,90.26,336,57.0,99.0,Very High,Passed
GAA4408368.1,80.93,162,42.0,95.0,High,Passed
GAA4408724.1,77.73,347,25.0,98.0,High,Passed
GAA4409212.1,89.51,147,66.0,96.0,High,Passed
GAA4409482.1,97.53,271,69.0,99.0,Very High,Passed
GAA4409871.1,83.46,291,45.0,99.0,High,Passed
GAA4409928.1,78.59,244,40.0,97.0,High,Passed
GAB6178790.1,93.43,341,49.0,99.0,Very High,Passed
GAB6178797.1,80.73,218,32.0,98.0,High,Passed
GAB6179030.1,30.81,108,22.0,47.0,Very Low,Failed
GAB6179086.1,93.18,335,53.0,99.0,Very High,Passed
GAB6179090.1,62.21,227,43.0,86.0,Low,Failed
GAB6179170.1,79.3,306,40.0,98.0,High,Passed
GAB6179477.1,73.93,211,39.0,97.0,High,Passed
GAB6179553.1,89.67,177,35.0,96.0,High,Passed
GAB6179572.1,92.7,261,55.0,99.0,Very High,Passed
GAB6179720.1,79.71,262,40.0,99.0,High,Passed
GAB6179891.1,84.37,245,36.0,97.0,High,Passed
GAB6179983.1,76.17,149,41.0,94.0,High,Passed
GAA0860701.1,87.46,109,61.0,97.0,High,Passed
GAA0860729.1,90.08,197,39.0,98.0,Very High,Passed
GAA0860885.1,91.7,220,56.0,99.0,Very High,Passed
GAA0861168.1,48.43,168,27.0,80.0,Very Low,Failed
GAA0861212.1,45.43,101,37.0,57.0,Very Low,Failed
GAB6180123.1,59.02,204,40.0,86.0,Low,Failed
GAB6180295.1,84.17,386,49.0,98.0,High,Passed
GAB6180520.1,82.9,163,59.0,95.0,High,Passed
GAB6180822.1,77.51,144,37.0,96.0,High,Passed
GAB6180825.1,85.41,254,45.0,98.0,High,Passed
GAB6180897.1,92.27,234,59.0,98.0,Very High,Passed
GAB6180907.1,94.09,275,68.0,99.0,Very High,Passed
GAB6181018.1,88.81,353,55.0,99.0,High,Passed
GAB6181217.1,84.59,339,32.0,99.0,High,Passed
GAB6181223.1,96.07,281,68.0,99.0,Very High,Passed
GAB6181306.1,91.92,316,64.0,99.0,Very High,Passed
GAB6181549.1,92.77,282,52.0,99.0,Very High,Passed
GAB6181599.1,90.52,307,51.0,99.0,Very High,Passed
GAB6181665.1,94.04,304,74.0,99.0,Very High,Passed
GAB6181798.1,51.27,125,28.0,78.0,Low,Failed
GAB6181822.1,40.48,195,22.0,69.0,Very Low,Failed
GAB6181926.1,94.88,190,59.0,99.0,Very High,Passed
GAB6181961.1,72.91,161,37.0,91.0,High,Passed
GAB6182008.1,92.78,374,58.0,99.0,Very High,Passed
GAB6182077.1,84.67,367,43.0,98.0,High,Passed
GAB6182079.1,68.21,116,32.0,88.0,Low,Failed
GAB6182237.1,39.9,146,23.0,62.0,Very Low,Failed
GAB6182258.1,90.81,281,54.0,99.0,Very High,Passed
GFO80467.1,67.86,167,43.0,92.0,Low,Failed
GFO80534.1,77.58,379,35.0,96.0,High,Passed
GFO80543.1,92.2,196,62.0,99.0,Very High,Passed
GFO80553.1,65.89,156,40.0,90.0,Low,Failed
GFO80607.1,87.43,284,43.0,98.0,High,Passed
GFO80632.1,79.68,171,42.0,94.0,High,Passed
GFO80642.1,73.46,370,31.0,98.0,High,Passed
GFO80677.1,52.58,383,24.0,90.0,Low,Failed
GFO80733.1,55.41,185,24.0,89.0,Low,Failed
GFO80744.1,70.99,111,25.0,84.0,High,Passed
GFO80771.1,67.18,159,38.0,92.0,Low,Failed
GFO80815.1,96.18,282,76.0,99.0,Very High,Passed
GFO80937.1,92.12,239,41.0,99.0,Very High,Passed
GFO80973.1,91.24,315,68.0,99.0,Very High,Passed
GFO81000.1,91.75,223,56.0,98.0,Very High,Passed
GFO81022.1,75.7,284,23.0,98.0,High,Passed
GFO81077.1,85.23,291,40.0,98.0,High,Passed
GFO81083.1,91.65,227,68.0,99.0,Very High,Passed
GFO81091.1,55.04,115,30.0,75.0,Low,Failed
GFO81174.1,85.26,396,35.0,99.0,High,Passed
GFO81176.1,84.28,170,51.0,96.0,High,Passed
GFO81227.1,75.44,156,39.0,95.0,High,Passed
GFO81228.1,64.95,140,33.0,91.0,Low,Failed
GFO81255.1,81.14,290,44.0,97.0,High,Passed
GFO81271.1,71.29,373,28.0,95.0,High,Passed
GFO81279.1,38.07,191,26.0,60.0,Very Low,Failed
GFO81282.1,65.92,119,51.0,81.0,Low,Failed
GFO81299.1,77.88,143,30.0,93.0,High,Passed
GFO81300.1,62.06,270,26.0,93.0,Low,Failed
GFO81304.1,35.7,132,25.0,69.0,Very Low,Failed
GFO81319.1,68.2,218,27.0,98.0,Low,Failed
GFO81327.1,96.18,387,66.0,99.0,Very High,Passed
GFO81343.1,86.11,264,36.0,99.0,High,Passed
GFO81374.1,80.21,199,30.0,96.0,High,Passed
GFO81421.1,86.47,247,54.0,98.0,High,Passed
GFO81425.1,92.7,272,57.0,99.0,Very High,Passed
GFO81439.1,96.34,343,51.0,99.0,Very High,Passed
GFO81450.1,50.05,223,27.0,88.0,Low,Failed
GFO81477.1,88.19,347,48.0,99.0,High,Passed
GAA0861405.1,77.5,135,24.0,93.0,High,Passed
GAA0863102.1,82.05,268,56.0,98.0,High,Passed
GAA0864428.1,88.5,254,60.0,99.0,High,Passed
GAA4403759.1,83.45,242,49.0,98.0,High,Passed
GFO80452.1,84.7,329,55.0,99.0,High,Passed
GFO80721.1,75.4,171,35.0,94.0,High,Passed
GFO81568.1,77.47,281,34.0,97.0,High,Passed
GFO81589.1,79.67,186,33.0,98.0,High,Passed
GFO81660.1,84.92,199,44.0,99.0,High,Passed
GFO81663.1,90.18,380,49.0,99.0,Very High,Passed
GFO81756.1,47.82,291,23.0,97.0,Very Low,Failed
GFO81770.1,71.63,196,42.0,92.0,High,Passed
GFO81824.1,80.24,340,29.0,98.0,High,Passed
GFO81857.1,32.78,130,26.0,51.0,Very Low,Failed
GFO81983.1,86.18,251,29.0,98.0,High,Passed
GFO81997.1,92.09,182,56.0,98.0,Very High,Passed
GFO82005.1,80.53,345,37.0,97.0,High,Passed
GFO82024.1,81.06,185,40.0,97.0,High,Passed
GFO82122.1,83.93,392,41.0,99.0,High,Passed
GFO82144.1,68.43,149,33.0,91.0,Low,Failed
GFO82150.1,81.23,133,33.0,96.0,High,Passed
GFO82172.1,81.08,198,40.0,97.0,High,Passed
GFO82238.1,93.27,259,49.0,99.0,Very High,Passed
GFO82247.1,42.58,183,23.0,86.0,Very Low,Failed
GFO82287.1,78.17,265,46.0,97.0,High,Passed
GFO82334.1,50.35,156,36.0,74.0,Low,Failed
GFO82341.1,96.6,326,83.0,99.0,Very High,Passed
GFO82359.1,97.1,344,72.0,99.0,Very High,Passed
GFO82453.1,69.6,182,30.0,89.0,Low,Failed
GFO82466.1,81.93,258,37.0,98.0,High,Passed
GFO82476.1,95.34,204,84.0,99.0,Very High,Passed
GFO82487.1,88.78,197,70.0,99.0,High,Passed
GFO82569.1,88.04,202,64.0,99.0,High,Passed
GFO82621.1,81.39,356,32.0,98.0,High,Passed
GFO82624.1,28.73,156,23.0,36.0,Very Low,Failed
GFO82663.1,92.22,357,70.0,98.0,Very High,Passed
GFO82722.1,39.55,100,31.0,53.0,Very Low,Failed
GFO82754.1,73.3,342,27.0,98.0,High,Passed
GFO82777.1,29.67,124,23.0,37.0,Very Low,Failed
GFO82799.1,87.2,211,57.0,98.0,High,Passed
GFO82810.1,70.13,313,25.0,94.0,High,Passed
GFO82870.1,88.87,277,59.0,99.0,High,Passed
GFO82940.1,75.62,265,30.0,99.0,High,Passed
GFO82946.1,54.46,352,24.0,89.0,Low,Failed
GFO83028.1,88.49,208,41.0,98.0,High,Passed
GFO83141.1,79.31,364,28.0,97.0,High,Passed
GFO83213.1,81.26,201,54.0,98.0,High,Passed
GFO83218.1,78.18,339,33.0,97.0,High,Passed
GFO83235.1,94.52,260,65.0,99.0,Very High,Passed
GFO83271.1,90.85,275,59.0,99.0,Very High,Passed
GFO83306.1,77.04,180,26.0,98.0,High,Passed
GFO83358.1,81.2,163,47.0,93.0,High,Passed
GFO83431.1,87.29,240,54.0,98.0,High,Passed
GFO83449.1,96.05,235,86.0,99.0,Very High,Passed
GFO83457.1,88.81,273,49.0,99.0,High,Passed
GFO83461.1,75.26,348,37.0,97.0,High,Passed
GFO83466.1,66.39,138,34.0,86.0,Low,Failed
GFO83514.1,85.56,248,62.0,95.0,High,Passed
GFO83584.1,74.06,333,28.0,97.0,High,Passed
GFO83626.1,68.52,124,30.0,91.0,Low,Failed
GKS56725.1,71.66,164,36.0,92.0,High,Passed
GKS56735.1,77.35,104,26.0,94.0,High,Passed
GKS56738.1,80.93,226,50.0,96.0,High,Passed
GKS56752.1,97.26,310,72.0,99.0,Very High,Passed
GKS56768.1,93.39,231,69.0,99.0,Very High,Passed
GKS56807.1,93.05,311,62.0,99.0,Very High,Passed
GKS56813.1,88.83,294,40.0,99.0,High,Passed
GKS56858.1,78.18,265,51.0,99.0,High,Passed
GKS56892.1,72.41,268,28.0,95.0,High,Passed
GKS56894.1,78.71,201,50.0,95.0,High,Passed
GKS56949.1,81.12,320,57.0,96.0,High,Passed
GKS56986.1,89.09,383,32.0,99.0,High,Passed
GKS57087.1,78.53,350,31.0,98.0,High,Passed
GKS57150.1,88.31,380,23.0,98.0,High,Passed
GKS57219.1,46.49,147,24.0,73.0,Very Low,Failed
GKS57232.1,59.58,228,18.0,95.0,Low,Failed
GKS57234.1,43.88,172,27.0,73.0,Very Low,Failed
GKS57251.1,85.51,175,51.0,98.0,High,Passed
GKS57263.1,71.88,119,37.0,94.0,High,Passed
GKS57316.1,80.59,235,42.0,98.0,High,Passed
GKS57340.1,90.9,260,50.0,98.0,Very High,Passed
GKS57395.1,90.94,293,60.0,99.0,Very High,Passed
GKS57469.1,77.88,232,39.0,95.0,High,Passed
GKS57479.1,86.38,318,38.0,99.0,High,Passed
GKS57482.1,87.37,396,46.0,98.0,High,Passed
GKS57553.1,69.48,201,46.0,95.0,Low,Failed
GKS57562.1,89.91,267,40.0,99.0,High,Passed
GKS57616.1,57.84,104,38.0,84.0,Low,Failed
GKS57688.1,90.15,196,69.0,97.0,Very High,Passed
GKS57703.1,55.33,101,30.0,73.0,Low,Failed
GKS57773.1,73.09,154,26.0,90.0,High,Passed
GKS57819.1,83.6,347,39.0,99.0,High,Passed
GKS57848.1,94.68,105,70.0,98.0,Very High,Passed
GKS57913.1,82.31,378,20.0,98.0,High,Passed
GKS57968.1,66.74,126,51.0,83.0,Low,Failed
GKS57998.1,75.89,300,35.0,96.0,High,Passed
GKS58004.1,49.7,155,37.0,77.0,Very Low,Failed
GKS58058.1,78.04,164,36.0,97.0,High,Passed
GKS58067.1,40.76,167,27.0,71.0,Very Low,Failed
GKS58100.1,77.3,271,43.0,98.0,High,Passed
GKS58137.1,96.54,347,82.0,99.0,Very High,Passed
GKS58171.1,36.12,173,27.0,64.0,Very Low,Failed
GKS58188.1,77.71,104,35.0,91.0,High,Passed
GKS58213.1,94.57,380,68.0,99.0,Very High,Passed
GKS58248.1,92.1,296,54.0,99.0,Very High,Passed
GKS58249.1,94.2,264,61.0,98.0,Very High,Passed
GKS58275.1,37.17,152,23.0,56.0,Very Low,Failed
GKS58415.1,81.39,340,49.0,98.0,High,Passed
GKS58490.1,87.85,196,68.0,98.0,High,Passed
GKS58526.1,64.77,192,28.0,89.0,Low,Failed
GKS58541.1,93.62,282,61.0,99.0,Very High,Passed
GKS58565.1,84.15,241,50.0,98.0,High,Passed
GKS58569.1,93.69,286,57.0,99.0,Very High,Passed
GKS58594.1,94.36,255,73.0,99.0,Very High,Passed
GKS58614.1,89.58,103,51.0,95.0,High,Passed
GKS58661.1,96.27,237,77.0,99.0,Very High,Passed
GKS58794.1,84.47,262,53.0,97.0,High,Passed
GKS58795.1,97.19,281,84.0,99.0,Very High,Passed
GKS58796.1,83.3,216,61.0,97.0,High,Passed
GKS58822.1,91.86,352,68.0,99.0,Very High,Passed
GKS58857.1,86.77,225,57.0,98.0,High,Passed
GKS58858.1,74.33,200,47.0,96.0,High,Passed
GKS58875.1,73.29,144,32.0,95.0,High,Passed
GKS58889.1,94.9,349,74.0,99.0,Very High,Passed
GKS58943.1,57.06,111,44.0,70.0,Low,Failed
GKS58950.1,88.49,226,61.0,97.0,High,Passed
GKS58959.1,73.33,238,27.0,98.0,High,Passed
GKS58971.1,70.64,177,30.0,92.0,High,Passed
GKS59070.1,88.94,276,48.0,99.0,High,Passed
GKS59101.1,74.7,317,31.0,98.0,High,Passed
GKS59137.1,87.21,396,47.0,99.0,High,Passed
GKS59249.1,75.7,289,49.0,98.0,High,Passed
GKS59266.1,91.58,303,60.0,99.0,Very High,Passed
GKS59334.1,88.48,257,33.0,98.0,High,Passed
GKS59337.1,85.03,370,42.0,99.0,High,Passed
GKS59361.1,75.87,163,38.0,94.0,High,Passed
GKS59372.1,84.02,219,47.0,97.0,High,Passed
GKS59377.1,86.63,240,43.0,98.0,High,Passed
GKS59382.1,92.83,267,54.0,99.0,Very High,Passed
GKS59389.1,35.03,104,26.0,46.0,Very Low,Failed
GKS59419.1,89.63,278,36.0,99.0,High,Passed
GKS59435.1,90.39,339,55.0,99.0,Very High,Passed
GKS59451.1,75.21,291,39.0,98.0,High,Passed
GKS59477.1,45.54,164,24.0,84.0,Very Low,Failed
GKS59479.1,67.82,179,32.0,97.0,Low,Failed
GKS59515.1,70.97,145,34.0,91.0,High,Passed
GKS59573.1,35.55,294,22.0,80.0,Very Low,Failed
GKS59594.1,67.73,316,25.0,89.0,Low,Failed
GKS59611.1,50.74,384,23.0,90.0,Low,Failed
GKS59615.1,89.39,360,59.0,98.0,High,Passed
GKS59635.1,89.49,361,40.0,99.0,High,Passed
GKS59651.1,94.27,309,66.0,99.0,Very High,Passed
GKS59692.1,80.49,305,39.0,98.0,High,Passed
GKS59737.1,76.85,356,33.0,98.0,High,Passed
GKS59777.1,92.96,231,49.0,99.0,Very High,Passed
GKS59779.1,75.05,234,41.0,95.0,High,Passed
GKS59834.1,92.45,288,60.0,99.0,Very High,Passed
GKS59874.1,72.55,135,38.0,89.0,High,Passed
GFO81930.1,82.75,206,30.0,98.0,High,Passed
GFO82281.1,84.46,304,49.0,99.0,High,Passed
GFO82611.1,95.39,185,83.0,99.0,Very High,Passed
GFO83391.1,90.86,274,52.0,99.0,Very High,Passed
GKS57644.1,89.08,324,53.0,98.0,High,Passed
GKS58005.1,75.38,154,48.0,89.0,High,Passed
GKS59927.1,94.16,263,73.0,98.0,Very High,Passed
GKS60025.1,66.08,170,28.0,95.0,Low,Failed
GKS60047.1,46.28,321,27.0,92.0,Very Low,Failed
GKS60178.1,82.26,155,34.0,96.0,High,Passed
GKS60208.1,85.02,253,45.0,98.0,High,Passed
GKS60265.1,93.18,261,71.0,99.0,Very High,Passed
GKS60282.1,79.4,381,35.0,98.0,High,Passed
GKS60284.1,85.61,260,43.0,99.0,High,Passed
GKS60332.1,89.65,389,55.0,98.0,High,Passed
GKS60366.1,61.76,147,25.0,89.0,Low,Failed
GKS60405.1,91.19,367,47.0,99.0,Very High,Passed
GKS60409.1,71.45,239,31.0,91.0,High,Passed
GKS60443.1,78.89,334,46.0,98.0,High,Passed
GKS60510.1,73.13,183,52.0,91.0,High,Passed
GKS60526.1,30.33,113,22.0,39.0,Very Low,Failed
GKS60548.1,54.1,143,24.0,86.0,Low,Failed
GKS60567.1,30.73,110,24.0,40.0,Very Low,Failed
GKS60596.1,78.51,118,49.0,88.0,High,Passed
GKS60601.1,90.37,187,74.0,99.0,Very High,Passed
GKS60660.1,48.18,163,25.0,79.0,Very Low,Failed
GKS60661.1,57.16,332,30.0,73.0,Low,Failed
GKS60676.1,90.62,186,54.0,99.0,Very High,Passed
GKS60712.1,82.66,299,43.0,98.0,High,Passed
GKS60741.1,87.55,295,53.0,99.0,High,Passed
GKS60830.1,67.74,307,38.0,98.0,Low,Failed
GKS60833.1,84.45,159,41.0,95.0,High,Passed
GKS60862.1,79.59,351,40.0,98.0,High,Passed
GKS60867.1,75.32,274,41.0,92.0,High,Passed
GKS60869.1,93.28,289,53.0,99.0,Very High,Passed
GKS60905.1,90.13,272,47.0,99.0,Very High,Passed
GKS60916.1,67.48,238,36.0,95.0,Low,Failed
GKS60977.1,85.15,338,41.0,98.0,High,Passed
GKS61046.1,83.01,220,58.0,98.0,High,Passed
GKS61191.1,82.26,129,36.0,93.0,High,Passed
GKS61239.1,87.01,391,57.0,98.0,High,Passed
GKS61245.1,68.86,207,42.0,94.0,Low,Failed
GKS61252.1,76.15,242,54.0,93.0,High,Passed
GKS61311.1,85.92,283,48.0,99.0,High,Passed
GKS61335.1,88.05,310,40.0,99.0,High,Passed
GKS61366.1,50.03,300,24.0,81.0,Low,Failed
GKS61381.1,88.66,290,52.0,98.0,High,Passed
GKS61404.1,57.58,116,40.0,74.0,Low,Failed
GKS61493.1,40.74,142,30.0,53.0,Very Low,Failed
GKS61516.1,86.57,357,44.0,98.0,High,Passed
GKS61532.1,33.96,116,23.0,50.0,Very Low,Failed
GKS61544.1,30.53,105,24.0,42.0,Very Low,Failed
GKS61618.1,68.66,129,34.0,85.0,Low,Failed
GKS61633.1,91.55,336,51.0,99.0,Very High,Passed
GKS61636.1,68.54,123,36.0,87.0,Low,Failed
GKS61637.1,85.57,164,37.0,97.0,High,Passed
GKS61649.1,95.34,393,87.0,99.0,Very High,Passed
GKS61657.1,79.53,322,35.0,97.0,High,Passed
GKS61716.1,95.26,225,81.0,99.0,Very High,Passed
GKS61731.1,83.92,328,43.0,97.0,High,Passed
GKS61744.1,68.79,382,37.0,88.0,Low,Failed
GKS61801.1,38.47,147,30.0,55.0,Very Low,Failed
GKS61827.1,43.52,199,29.0,75.0,Very Low,Failed
GKS61833.1,85.58,272,49.0,99.0,High,Passed
GKS61904.1,46.72,167,26.0,88.0,Very Low,Failed
GKS61952.1,75.05,195,44.0,97.0,High,Passed
GKS62059.1,84.31,343,44.0,99.0,High,Passed
GKS62064.1,48.97,204,30.0,77.0,Very Low,Failed
GKS62074.1,86.05,147,45.0,95.0,High,Passed
GKS62085.1,93.84,261,58.0,99.0,Very High,Passed
GKS62092.1,82.76,160,57.0,95.0,High,Passed
GKS62106.1,74.64,336,39.0,97.0,High,Passed
GKS62116.1,80.31,392,44.0,99.0,High,Passed
GKS62126.1,39.59,194,26.0,71.0,Very Low,Failed
GKS62189.1,66.11,198,38.0,93.0,Low,Failed
GKS62255.1,53.2,100,31.0,72.0,Low,Failed
GKS62290.1,59.06,138,33.0,83.0,Low,Failed
GKS62310.1,73.98,154,26.0,92.0,High,Passed
GKS62416.1,42.32,108,31.0,55.0,Very Low,Failed
GKS62440.1,38.92,172,26.0,78.0,Very Low,Failed
GKS62444.1,84.95,284,34.0,99.0,High,Passed
GKS62499.1,73.55,194,39.0,96.0,High,Passed
GKS62503.1,66.5,111,38.0,81.0,Low,Failed
GKS62541.1,79.76,163,35.0,91.0,High,Passed
GKS62594.1,74.72,159,41.0,90.0,High,Passed
GKS62604.1,64.38,164,31.0,90.0,Low,Failed
GKS62654.1,90.39,188,47.0,99.0,Very High,Passed
GKS62657.1,79.63,169,34.0,97.0,High,Passed
GKS62692.1,55.81,288,23.0,97.0,Low,Failed
GKS62693.1,67.25,163,27.0,96.0,Low,Failed
